--- Call started: 2025-10-05T21:42:38.615Z ---
Call ID: CA901a8e59abf1b87307aea1c30d84f9a2
Phone: unknown
---

[2025-10-05T21:42:45.783Z] Event: media
[2025-10-05T21:42:45.803Z] Event: media
[2025-10-05T21:42:45.823Z] Event: media
[2025-10-05T21:42:45.843Z] Event: media
[2025-10-05T21:42:45.863Z] Event: media
[2025-10-05T21:42:45.883Z] Event: media
[2025-10-05T21:42:45.903Z] Event: media
[2025-10-05T21:42:45.923Z] Event: media
[2025-10-05T21:42:45.943Z] Event: media
[2025-10-05T21:42:45.963Z] Event: media
[2025-10-05T21:42:45.983Z] Event: media
[2025-10-05T21:42:46.003Z] Event: media
[2025-10-05T21:42:46.024Z] Event: media
[2025-10-05T21:42:46.043Z] Event: media
[2025-10-05T21:42:46.063Z] Event: media
[2025-10-05T21:42:46.083Z] Event: media
[2025-10-05T21:42:46.103Z] Event: media
[2025-10-05T21:42:46.123Z] Event: media
[2025-10-05T21:42:46.143Z] Event: media
[2025-10-05T21:42:46.163Z] Event: media
[2025-10-05T21:42:46.183Z] Event: media
[2025-10-05T21:42:46.203Z] Event: media
[2025-10-05T21:42:46.223Z] Event: media
[2025-10-05T21:42:46.243Z] Event: media
[2025-10-05T21:42:46.263Z] Event: media
[2025-10-05T21:42:46.283Z] Event: media
[2025-10-05T21:42:46.303Z] Event: media
[2025-10-05T21:42:46.323Z] Event: media
[2025-10-05T21:42:46.343Z] Event: media
[2025-10-05T21:42:46.363Z] Event: media
[2025-10-05T21:42:46.385Z] Event: media
[2025-10-05T21:42:46.407Z] Event: media
[2025-10-05T21:42:46.425Z] Event: media
[2025-10-05T21:42:46.443Z] Event: media
[2025-10-05T21:42:46.463Z] Event: media
[2025-10-05T21:42:46.483Z] Event: media
[2025-10-05T21:42:46.503Z] Event: media
[2025-10-05T21:42:46.523Z] Event: media
[2025-10-05T21:42:46.543Z] Event: media
[2025-10-05T21:42:46.563Z] Event: media
[2025-10-05T21:42:46.583Z] Event: media
[2025-10-05T21:42:46.603Z] Event: media
[2025-10-05T21:42:46.623Z] Event: media
[2025-10-05T21:42:46.643Z] Event: media
[2025-10-05T21:42:46.669Z] Event: media
